CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_Gujarat,Geography_Karnataka,Geography_Maharashtra,Geography_Tamil Nadu,Gender_Male
754,42,3,0.0,4,1,0,646206.34,1,False,False,False,False,True
323,22,6,1030721.7,2,0,0,2110200.35,0,True,False,False,False,True
582,24,5,1498187.09,2,1,1,1970382.61,0,False,False,False,True,True
670,33,5,0.0,1,0,1,1529945.0,0,False,True,False,False,False
877,52,4,402412.05,1,1,1,916309.54,0,False,False,True,False,True
418,42,6,848185.67,2,0,0,2460762.19,0,False,False,True,False,False
548,45,8,719695.36,1,1,1,1679700.21,0,False,False,True,False,True
361,47,5,0.0,2,1,0,1893892.15,1,True,False,False,False,False
699,37,9,1085360.49,2,1,0,2222666.28,0,False,True,False,False,False
439,26,6,194663.95,2,1,1,2091054.57,0,False,False,False,True,False
851,63,8,183442.71,1,1,1,2084469.32,0,False,False,True,False,False
517,36,6,762169.04,2,1,1,769473.91,0,True,False,False,False,False
309,28,5,1461050.61,2,1,0,912954.02,0,False,False,False,True,False
866,53,2,0.0,2,1,0,1090689.2,0,False,False,True,False,True
388,30,0,0.0,1,1,0,2306898.45,0,False,False,True,False,True
815,54,9,765718.21,2,0,1,312784.03,0,False,False,True,False,True
773,39,8,6875.45,2,0,0,781257.28,0,False,False,False,False,True
552,34,6,445542.5,1,1,0,1207475.17,0,False,True,False,False,True
682,23,2,170707.54,1,1,1,1839064.05,0,False,False,False,False,True
322,61,9,1059786.75,2,1,1,556225.97,1,False,False,False,False,True
860,43,8,661350.92,1,1,1,1357372.8,0,False,True,False,False,True
661,60,2,935861.05,1,1,0,957404.42,0,False,False,True,False,True
684,31,2,905615.22,1,1,0,681864.32,0,False,False,False,False,False
686,26,6,0.0,2,0,0,322826.12,0,False,False,False,False,True
539,54,1,0.0,2,1,1,2087147.79,1,False,True,False,False,False
614,21,9,405228.55,1,1,0,1768219.38,0,False,False,False,True,True
506,55,6,724328.47,1,1,0,831748.02,0,False,False,True,False,False
534,45,6,308011.75,2,0,1,1082893.45,0,False,True,False,False,False
573,49,0,1406838.12,1,1,1,1451574.98,0,False,True,False,False,False
448,43,9,623357.92,1,1,1,925260.08,0,False,False,True,False,False
867,38,1,0.0,1,1,0,614615.81,0,False,True,False,False,True
580,34,4,0.0,1,1,1,668731.97,0,False,False,True,False,False
459,37,3,417834.01,2,0,1,2153549.88,0,False,False,True,False,False
369,22,2,0.0,2,0,0,1304424.76,0,True,False,False,False,False
639,51,9,1230345.09,2,1,1,1273881.32,0,True,False,False,False,False
540,39,7,1161274.19,1,0,1,1079238.26,0,False,False,False,True,True
462,52,6,0.0,1,0,0,1856654.69,1,False,False,False,False,False
382,48,8,0.0,1,1,1,2104777.85,0,False,False,True,False,True
759,61,2,0.0,1,1,0,1851711.65,0,False,False,False,True,True
460,28,9,0.0,1,1,1,1304375.61,0,False,False,False,False,True
539,62,0,74741.27,2,1,0,645175.08,0,False,False,True,False,False
785,61,8,1056971.89,1,1,1,1437045.39,0,False,True,False,False,True
502,60,8,1202666.91,2,0,1,1865086.11,0,False,False,True,False,True
723,59,0,393206.69,2,1,0,1138779.37,0,True,False,False,False,True
496,42,7,0.0,1,1,1,2478731.96,0,False,False,False,False,False
341,44,9,0.0,1,1,0,2349384.99,0,False,False,False,True,False
513,58,0,0.0,2,0,0,2343822.42,0,False,False,False,False,True
552,22,5,832440.1,2,1,0,1557088.11,1,False,True,False,False,True
316,61,8,1059119.01,2,1,1,1462441.34,0,False,True,False,False,False
415,61,2,1497243.37,1,1,0,1418490.03,0,False,False,True,False,False
503,39,5,482052.33,2,1,0,1268781.52,0,True,False,False,False,False
450,61,2,0.0,1,1,0,553660.28,0,False,False,False,True,True
545,22,4,1050825.21,2,1,1,2214150.65,0,True,False,False,False,False
357,48,6,0.0,2,0,1,2077017.22,0,True,False,False,False,True
806,52,9,0.0,2,1,1,1903328.88,0,False,True,False,False,True
540,39,3,1459194.81,1,1,1,1780588.55,0,True,False,False,False,True
391,36,3,0.0,2,1,0,1262247.24,0,False,False,True,False,True
697,50,6,517863.05,2,1,1,2489696.09,1,False,False,True,False,False
691,42,4,342453.26,1,1,1,1202674.02,0,False,False,True,False,True
345,34,0,169795.15,1,0,1,789343.19,0,False,False,False,False,True
454,21,9,0.0,1,0,0,953871.84,0,False,False,False,False,True
369,22,1,0.0,1,1,1,1839237.2,0,False,False,False,False,True
810,42,5,972433.11,1,0,0,878610.12,0,False,False,False,True,False
581,53,8,567657.03,1,0,1,1731223.82,1,False,False,False,False,True
725,35,6,0.0,1,1,1,1828931.64,0,False,False,False,False,True
329,61,3,0.0,1,1,0,2279325.6,1,False,True,False,False,False
561,42,1,616505.15,2,1,0,1246621.4,0,False,False,True,False,False
622,60,3,0.0,1,1,1,1315967.61,0,False,False,False,True,False
382,59,4,0.0,3,0,0,339972.27,1,False,False,True,False,True
766,61,1,1008741.79,1,0,0,587232.72,0,True,False,False,False,False
515,61,0,0.0,2,0,1,765774.77,1,False,False,False,True,False
334,31,3,183976.71,1,1,0,2342538.34,0,False,False,True,False,False
304,24,5,1027698.44,1,1,1,1666889.25,0,False,False,True,False,False
305,27,0,890387.32,2,1,1,2273132.52,0,False,False,False,True,True
546,41,0,0.0,2,0,1,904378.09,0,False,False,False,True,False
392,27,8,899576.83,2,0,0,945012.2,0,False,False,False,True,True
614,24,4,0.0,2,1,1,1336947.27,0,False,False,False,True,True
734,32,1,656908.98,2,1,0,1710331.99,0,False,False,True,False,True
489,47,1,163573.73,1,1,1,521277.7,0,False,False,False,False,True
843,37,3,771745.75,2,1,0,581623.73,0,False,False,True,False,False
732,40,1,229167.66,1,1,0,2042352.65,0,True,False,False,False,False
525,51,3,0.0,1,1,0,2181107.29,0,False,True,False,False,True
535,46,5,378189.61,1,1,1,195993.94,0,False,False,False,False,False
839,51,6,1493516.97,1,0,0,1826356.1,0,False,False,True,False,True
498,55,5,0.0,1,0,1,1011534.78,0,False,False,False,False,True
720,29,3,0.0,1,1,1,976460.12,0,False,False,False,False,False
840,25,9,223511.82,2,1,0,1472813.53,0,False,False,False,True,False
446,28,2,631754.68,1,0,0,1931044.62,0,False,True,False,False,True
411,41,3,728661.19,2,0,0,2332963.88,0,True,False,False,False,False
407,36,4,1116322.46,1,0,0,204403.53,1,False,True,False,False,True
830,36,3,0.0,1,0,1,797873.16,0,False,False,True,False,True
734,38,2,350051.92,2,1,0,1079241.44,0,False,False,False,True,True
767,48,0,408533.9,2,1,0,361654.05,0,False,False,False,True,True
672,38,2,902911.67,2,1,0,262373.79,0,False,True,False,False,False
570,34,4,419405.83,2,0,1,2484982.75,0,False,False,False,True,False
488,57,5,732827.03,2,1,1,1678336.66,1,False,True,False,False,True
864,60,3,0.0,2,1,0,802756.23,0,False,True,False,False,False
811,36,0,1216617.15,2,1,1,1051459.75,0,False,False,False,False,False
414,41,9,1314465.17,2,0,0,1820616.02,0,False,False,True,False,True
306,21,6,0.0,1,1,1,516874.57,0,False,False,True,False,True
766,31,8,1261990.32,2,1,1,1165787.99,1,False,False,True,False,False
647,31,5,0.0,1,1,1,2183017.1,0,False,True,False,False,False
375,22,5,0.0,2,1,1,809355.2,0,False,False,False,False,False
879,52,8,1242002.92,1,1,1,580795.21,0,False,True,False,False,True
333,39,3,310932.22,1,0,1,2233123.14,0,True,False,False,False,False
818,25,4,0.0,2,0,0,2384057.3,0,False,False,True,False,True
737,23,4,0.0,1,0,1,2222237.44,0,False,False,False,False,True
750,48,4,836010.37,2,0,1,2319820.12,1,False,False,False,True,True
652,46,7,265870.27,1,0,0,1125785.36,0,False,False,True,False,True
439,43,0,0.0,1,1,0,1266552.67,0,False,False,True,False,True
613,50,9,329636.09,2,1,0,1619877.37,1,False,False,False,False,True
766,28,9,1316031.86,1,1,1,316156.45,0,False,False,True,False,True
508,56,2,408085.08,2,0,1,1761745.97,1,True,False,False,False,False
381,49,7,673234.98,1,0,0,1438648.47,0,False,False,False,True,True
696,33,8,1496374.81,2,1,1,2354888.84,0,False,True,False,False,True
395,45,1,766690.74,2,1,1,1442347.93,0,True,False,False,False,True
618,42,3,0.0,2,0,1,2479150.25,0,False,False,False,True,True
688,53,7,0.0,2,0,1,2429097.77,1,False,False,True,False,False
385,57,4,1319503.95,1,0,0,1111529.55,0,True,False,False,False,True
670,27,0,502610.33,2,1,1,259925.66,0,False,True,False,False,False
371,43,5,0.0,2,1,1,2053601.31,0,False,False,False,True,True
351,26,8,1333485.3,1,0,1,2158016.5,0,True,False,False,False,True
763,35,8,916304.14,2,1,1,1462858.91,0,False,False,False,False,False
395,35,0,895763.05,2,1,1,1879777.47,1,False,False,True,False,False
